year,day,weekday,date,calday,holiday,covid
2015,16,6,16.05.2015,20150516,1,0
2015,17,7,17.05.2015,20150517,1,0
2015,18,1,18.05.2015,20150518,0,0
2015,19,2,19.05.2015,20150519,0,0
2015,20,3,20.05.2015,20150520,0,0
2015,21,4,21.05.2015,20150521,0,0
2015,22,5,22.05.2015,20150522,0,0
2015,23,6,23.05.2015,20150523,1,0
2015,24,7,24.05.2015,20150524,1,0
2015,25,1,25.05.2015,20150525,0,0
2015,26,2,26.05.2015,20150526,0,0
2015,27,3,27.05.2015,20150527,0,0
2015,28,4,28.05.2015,20150528,0,0
2015,29,5,29.05.2015,20150529,0,0
2015,30,6,30.05.2015,20150530,1,0
2015,31,7,31.05.2015,20150531,1,0
2015,1,1,01.06.2015,20150601,0,0
2015,2,2,02.06.2015,20150602,0,0
2015,3,3,03.06.2015,20150603,0,0
2015,4,4,04.06.2015,20150604,0,0
2015,5,5,05.06.2015,20150605,0,0
2015,6,6,06.06.2015,20150606,1,0
2015,7,7,07.06.2015,20150607,1,0
2015,8,1,08.06.2015,20150608,0,0
2015,9,2,09.06.2015,20150609,0,0
2015,10,3,10.06.2015,20150610,0,0
2015,11,4,11.06.2015,20150611,0,0
2015,12,5,12.06.2015,20150612,1,0
2015,13,6,13.06.2015,20150613,1,0
2015,14,7,14.06.2015,20150614,1,0
2015,15,1,15.06.2015,20150615,0,0
2015,16,2,16.06.2015,20150616,0,0
2015,17,3,17.06.2015,20150617,0,0
2015,18,4,18.06.2015,20150618,0,0
2015,19,5,19.06.2015,20150619,0,0
2015,20,6,20.06.2015,20150620,1,0
2015,21,7,21.06.2015,20150621,1,0
2015,22,1,22.06.2015,20150622,0,0
2015,23,2,23.06.2015,20150623,0,0
2015,24,3,24.06.2015,20150624,0,0
2015,25,4,25.06.2015,20150625,0,0
2015,26,5,26.06.2015,20150626,0,0
2015,27,6,27.06.2015,20150627,1,0
2015,28,7,28.06.2015,20150628,1,0
2015,29,1,29.06.2015,20150629,0,0
2015,30,2,30.06.2015,20150630,0,0
2015,1,3,01.07.2015,20150701,0,0
2015,2,4,02.07.2015,20150702,0,0
2015,3,5,03.07.2015,20150703,0,0
2015,4,6,04.07.2015,20150704,1,0
2015,5,7,05.07.2015,20150705,1,0
2015,6,1,06.07.2015,20150706,0,0
2015,7,2,07.07.2015,20150707,0,0
2015,8,3,08.07.2015,20150708,0,0
2015,9,4,09.07.2015,20150709,0,0
2015,10,5,10.07.2015,20150710,0,0
2015,11,6,11.07.2015,20150711,1,0
2015,12,7,12.07.2015,20150712,1,0
2015,13,1,13.07.2015,20150713,0,0
2015,14,2,14.07.2015,20150714,0,0
2015,15,3,15.07.2015,20150715,0,0
2015,16,4,16.07.2015,20150716,0,0
2015,17,5,17.07.2015,20150717,0,0
2015,18,6,18.07.2015,20150718,1,0
2015,19,7,19.07.2015,20150719,1,0
2015,20,1,20.07.2015,20150720,0,0
2015,21,2,21.07.2015,20150721,0,0
2015,22,3,22.07.2015,20150722,0,0
2015,23,4,23.07.2015,20150723,0,0
2015,24,5,24.07.2015,20150724,0,0
2015,25,6,25.07.2015,20150725,1,0
2015,26,7,26.07.2015,20150726,1,0
2015,27,1,27.07.2015,20150727,0,0
2015,28,2,28.07.2015,20150728,0,0
2015,29,3,29.07.2015,20150729,0,0
2015,30,4,30.07.2015,20150730,0,0
2015,31,5,31.07.2015,20150731,0,0
2015,1,6,01.08.2015,20150801,1,0
2015,2,7,02.08.2015,20150802,1,0
2015,3,1,03.08.2015,20150803,0,0
2015,4,2,04.08.2015,20150804,0,0
2015,5,3,05.08.2015,20150805,0,0
2015,6,4,06.08.2015,20150806,0,0
2015,7,5,07.08.2015,20150807,0,0
2015,8,6,08.08.2015,20150808,1,0
2015,9,7,09.08.2015,20150809,1,0
2015,10,1,10.08.2015,20150810,0,0
2015,11,2,11.08.2015,20150811,0,0
2015,12,3,12.08.2015,20150812,0,0
2015,13,4,13.08.2015,20150813,0,0
2015,14,5,14.08.2015,20150814,0,0
2015,15,6,15.08.2015,20150815,1,0
2015,16,7,16.08.2015,20150816,1,0
2015,17,1,17.08.2015,20150817,0,0
2015,18,2,18.08.2015,20150818,0,0
2015,19,3,19.08.2015,20150819,0,0
2015,20,4,20.08.2015,20150820,0,0
2015,21,5,21.08.2015,20150821,0,0
2015,22,6,22.08.2015,20150822,1,0
2015,23,7,23.08.2015,20150823,1,0
2015,24,1,24.08.2015,20150824,0,0
2015,25,2,25.08.2015,20150825,0,0
2015,26,3,26.08.2015,20150826,0,0
2015,27,4,27.08.2015,20150827,0,0
2015,28,5,28.08.2015,20150828,0,0
2015,29,6,29.08.2015,20150829,1,0
2015,30,7,30.08.2015,20150830,1,0
2015,31,1,31.08.2015,20150831,0,0
2015,1,2,01.09.2015,20150901,0,0
2015,2,3,02.09.2015,20150902,0,0
2015,3,4,03.09.2015,20150903,0,0
2015,4,5,04.09.2015,20150904,0,0
2015,5,6,05.09.2015,20150905,1,0
2015,6,7,06.09.2015,20150906,1,0
2015,7,1,07.09.2015,20150907,0,0
2015,8,2,08.09.2015,20150908,0,0
2015,9,3,09.09.2015,20150909,0,0
2015,10,4,10.09.2015,20150910,0,0
2015,11,5,11.09.2015,20150911,0,0
2015,12,6,12.09.2015,20150912,1,0
2015,13,7,13.09.2015,20150913,1,0
2015,14,1,14.09.2015,20150914,0,0
2015,15,2,15.09.2015,20150915,0,0
2015,16,3,16.09.2015,20150916,0,0
2015,17,4,17.09.2015,20150917,0,0
2015,18,5,18.09.2015,20150918,0,0
2015,19,6,19.09.2015,20150919,1,0
2015,20,7,20.09.2015,20150920,1,0
2015,21,1,21.09.2015,20150921,0,0
2015,22,2,22.09.2015,20150922,0,0
2015,23,3,23.09.2015,20150923,0,0
2015,24,4,24.09.2015,20150924,0,0
2015,25,5,25.09.2015,20150925,0,0
2015,26,6,26.09.2015,20150926,1,0
2015,27,7,27.09.2015,20150927,1,0
2015,28,1,28.09.2015,20150928,0,0
2015,29,2,29.09.2015,20150929,0,0
2015,30,3,30.09.2015,20150930,0,0
2015,1,4,01.10.2015,20151001,0,0
2015,2,5,02.10.2015,20151002,0,0
2015,3,6,03.10.2015,20151003,1,0
2015,4,7,04.10.2015,20151004,1,0
2015,5,1,05.10.2015,20151005,0,0
2015,6,2,06.10.2015,20151006,0,0
2015,7,3,07.10.2015,20151007,0,0
2015,8,4,08.10.2015,20151008,0,0
2015,9,5,09.10.2015,20151009,0,0
2015,10,6,10.10.2015,20151010,1,0
2015,11,7,11.10.2015,20151011,1,0
2015,12,1,12.10.2015,20151012,0,0
2015,13,2,13.10.2015,20151013,0,0
2015,14,3,14.10.2015,20151014,0,0
2015,15,4,15.10.2015,20151015,0,0
2015,16,5,16.10.2015,20151016,0,0
2015,17,6,17.10.2015,20151017,1,0
2015,18,7,18.10.2015,20151018,1,0
2015,19,1,19.10.2015,20151019,0,0
2015,20,2,20.10.2015,20151020,0,0
2015,21,3,21.10.2015,20151021,0,0
2015,22,4,22.10.2015,20151022,0,0
2015,23,5,23.10.2015,20151023,0,0
2015,24,6,24.10.2015,20151024,1,0
2015,25,7,25.10.2015,20151025,1,0
2015,26,1,26.10.2015,20151026,0,0
2015,27,2,27.10.2015,20151027,0,0
2015,28,3,28.10.2015,20151028,0,0
2015,29,4,29.10.2015,20151029,0,0
2015,30,5,30.10.2015,20151030,0,0
2015,31,6,31.10.2015,20151031,1,0
2015,1,7,01.11.2015,20151101,1,0
2015,2,1,02.11.2015,20151102,0,0
2015,3,2,03.11.2015,20151103,0,0
2015,4,3,04.11.2015,20151104,1,0
2015,5,4,05.11.2015,20151105,0,0
2015,6,5,06.11.2015,20151106,0,0
2015,7,6,07.11.2015,20151107,1,0
2015,8,7,08.11.2015,20151108,1,0
2015,9,1,09.11.2015,20151109,0,0
2015,10,2,10.11.2015,20151110,0,0
2015,11,3,11.11.2015,20151111,0,0
2015,12,4,12.11.2015,20151112,0,0
2015,13,5,13.11.2015,20151113,0,0
2015,14,6,14.11.2015,20151114,1,0
2015,15,7,15.11.2015,20151115,1,0
2015,16,1,16.11.2015,20151116,0,0
2015,17,2,17.11.2015,20151117,0,0
2015,18,3,18.11.2015,20151118,0,0
2015,19,4,19.11.2015,20151119,0,0
2015,20,5,20.11.2015,20151120,0,0
2015,21,6,21.11.2015,20151121,1,0
2015,22,7,22.11.2015,20151122,1,0
2015,23,1,23.11.2015,20151123,0,0
2015,24,2,24.11.2015,20151124,0,0
2015,25,3,25.11.2015,20151125,0,0
2015,26,4,26.11.2015,20151126,0,0
2015,27,5,27.11.2015,20151127,0,0
2015,28,6,28.11.2015,20151128,1,0
2015,29,7,29.11.2015,20151129,1,0
2015,30,1,30.11.2015,20151130,0,0
2015,1,2,01.12.2015,20151201,0,0
2015,2,3,02.12.2015,20151202,0,0
2015,3,4,03.12.2015,20151203,0,0
2015,4,5,04.12.2015,20151204,0,0
2015,5,6,05.12.2015,20151205,1,0
2015,6,7,06.12.2015,20151206,1,0
2015,7,1,07.12.2015,20151207,0,0
2015,8,2,08.12.2015,20151208,0,0
2015,9,3,09.12.2015,20151209,0,0
2015,10,4,10.12.2015,20151210,0,0
2015,11,5,11.12.2015,20151211,0,0
2015,12,6,12.12.2015,20151212,1,0
2015,13,7,13.12.2015,20151213,1,0
2015,14,1,14.12.2015,20151214,0,0
2015,15,2,15.12.2015,20151215,0,0
2015,16,3,16.12.2015,20151216,0,0
2015,17,4,17.12.2015,20151217,0,0
2015,18,5,18.12.2015,20151218,0,0
2015,19,6,19.12.2015,20151219,1,0
2015,20,7,20.12.2015,20151220,1,0
2015,21,1,21.12.2015,20151221,0,0
2015,22,2,22.12.2015,20151222,0,0
2015,23,3,23.12.2015,20151223,0,0
2015,24,4,24.12.2015,20151224,0,0
2015,25,5,25.12.2015,20151225,0,0
2015,26,6,26.12.2015,20151226,1,0
2015,27,7,27.12.2015,20151227,1,0
2015,28,1,28.12.2015,20151228,0,0
2015,29,2,29.12.2015,20151229,0,0
2015,30,3,30.12.2015,20151230,0,0
2015,31,4,31.12.2015,20151231,1,0
2016,1,5,01.01.2016,20160101,1,0
2016,2,6,02.01.2016,20160102,1,0
2016,3,7,03.01.2016,20160103,1,0
2016,4,1,04.01.2016,20160104,1,0
2016,5,2,05.01.2016,20160105,1,0
2016,6,3,06.01.2016,20160106,1,0
2016,7,4,07.01.2016,20160107,1,0
2016,8,5,08.01.2016,20160108,1,0
2016,9,6,09.01.2016,20160109,1,0
2016,10,7,10.01.2016,20160110,1,0
2016,11,1,11.01.2016,20160111,0,0
2016,12,2,12.01.2016,20160112,0,0
2016,13,3,13.01.2016,20160113,0,0
2016,14,4,14.01.2016,20160114,0,0
2016,15,5,15.01.2016,20160115,0,0
2016,16,6,16.01.2016,20160116,1,0
2016,17,7,17.01.2016,20160117,1,0
2016,18,1,18.01.2016,20160118,0,0
2016,19,2,19.01.2016,20160119,0,0
2016,20,3,20.01.2016,20160120,0,0
2016,21,4,21.01.2016,20160121,0,0
2016,22,5,22.01.2016,20160122,0,0
2016,23,6,23.01.2016,20160123,1,0
2016,24,7,24.01.2016,20160124,1,0
2016,25,1,25.01.2016,20160125,0,0
2016,26,2,26.01.2016,20160126,0,0
2016,27,3,27.01.2016,20160127,0,0
2016,28,4,28.01.2016,20160128,0,0
2016,29,5,29.01.2016,20160129,0,0
2016,30,6,30.01.2016,20160130,1,0
2016,31,7,31.01.2016,20160131,1,0
2016,1,1,01.02.2016,20160201,0,0
2016,2,2,02.02.2016,20160202,0,0
2016,3,3,03.02.2016,20160203,0,0
2016,4,4,04.02.2016,20160204,0,0
2016,5,5,05.02.2016,20160205,0,0
2016,6,6,06.02.2016,20160206,1,0
2016,7,7,07.02.2016,20160207,1,0
2016,8,1,08.02.2016,20160208,0,0
2016,9,2,09.02.2016,20160209,0,0
2016,10,3,10.02.2016,20160210,0,0
2016,11,4,11.02.2016,20160211,0,0
2016,12,5,12.02.2016,20160212,0,0
2016,13,6,13.02.2016,20160213,1,0
2016,14,7,14.02.2016,20160214,1,0
2016,15,1,15.02.2016,20160215,0,0
2016,16,2,16.02.2016,20160216,0,0
2016,17,3,17.02.2016,20160217,0,0
2016,18,4,18.02.2016,20160218,0,0
2016,19,5,19.02.2016,20160219,0,0
2016,20,6,20.02.2016,20160220,0,0
2016,21,7,21.02.2016,20160221,1,0
2016,22,1,22.02.2016,20160222,1,0
2016,23,2,23.02.2016,20160223,1,0
2016,24,3,24.02.2016,20160224,0,0
2016,25,4,25.02.2016,20160225,0,0
2016,26,5,26.02.2016,20160226,0,0
2016,27,6,27.02.2016,20160227,1,0
2016,28,7,28.02.2016,20160228,1,0
2016,29,1,29.02.2016,20160229,0,0
2016,1,2,01.03.2016,20160301,0,0
2016,2,3,02.03.2016,20160302,0,0
2016,3,4,03.03.2016,20160303,0,0
2016,4,5,04.03.2016,20160304,0,0
2016,5,6,05.03.2016,20160305,1,0
2016,6,7,06.03.2016,20160306,1,0
2016,7,1,07.03.2016,20160307,1,0
2016,8,2,08.03.2016,20160308,1,0
2016,9,3,09.03.2016,20160309,0,0
2016,10,4,10.03.2016,20160310,0,0
2016,11,5,11.03.2016,20160311,0,0
2016,12,6,12.03.2016,20160312,1,0
2016,13,7,13.03.2016,20160313,1,0
2016,14,1,14.03.2016,20160314,0,0
2016,15,2,15.03.2016,20160315,0,0
2016,16,3,16.03.2016,20160316,0,0
2016,17,4,17.03.2016,20160317,0,0
2016,18,5,18.03.2016,20160318,0,0
2016,19,6,19.03.2016,20160319,1,0
2016,20,7,20.03.2016,20160320,1,0
2016,21,1,21.03.2016,20160321,0,0
2016,22,2,22.03.2016,20160322,0,0
2016,23,3,23.03.2016,20160323,0,0
2016,24,4,24.03.2016,20160324,0,0
2016,25,5,25.03.2016,20160325,0,0
2016,26,6,26.03.2016,20160326,1,0
2016,27,7,27.03.2016,20160327,1,0
2016,28,1,28.03.2016,20160328,0,0
2016,29,2,29.03.2016,20160329,0,0
2016,30,3,30.03.2016,20160330,0,0
2016,31,4,31.03.2016,20160331,0,0
2016,1,5,01.04.2016,20160401,0,0
2016,2,6,02.04.2016,20160402,1,0
2016,3,7,03.04.2016,20160403,1,0
2016,4,1,04.04.2016,20160404,0,0
2016,5,2,05.04.2016,20160405,0,0
2016,6,3,06.04.2016,20160406,0,0
2016,7,4,07.04.2016,20160407,0,0
2016,8,5,08.04.2016,20160408,0,0
2016,9,6,09.04.2016,20160409,1,0
2016,10,7,10.04.2016,20160410,1,0
2016,11,1,11.04.2016,20160411,0,0
2016,12,2,12.04.2016,20160412,0,0
2016,13,3,13.04.2016,20160413,0,0
2016,14,4,14.04.2016,20160414,0,0
2016,15,5,15.04.2016,20160415,0,0
2016,16,6,16.04.2016,20160416,1,0
2016,17,7,17.04.2016,20160417,1,0
2016,18,1,18.04.2016,20160418,0,0
2016,19,2,19.04.2016,20160419,0,0
2016,20,3,20.04.2016,20160420,0,0
2016,21,4,21.04.2016,20160421,0,0
2016,22,5,22.04.2016,20160422,0,0
2016,23,6,23.04.2016,20160423,1,0
2016,24,7,24.04.2016,20160424,1,0
2016,25,1,25.04.2016,20160425,0,0
2016,26,2,26.04.2016,20160426,0,0
2016,27,3,27.04.2016,20160427,0,0
2016,28,4,28.04.2016,20160428,0,0
2016,29,5,29.04.2016,20160429,0,0
2016,30,6,30.04.2016,20160430,1,0
2016,1,7,01.05.2016,20160501,1,0
2016,2,1,02.05.2016,20160502,1,0
2016,3,2,03.05.2016,20160503,1,0
2016,4,3,04.05.2016,20160504,0,0
2016,5,4,05.05.2016,20160505,0,0
2016,6,5,06.05.2016,20160506,0,0
2016,7,6,07.05.2016,20160507,1,0
2016,8,7,08.05.2016,20160508,1,0
2016,9,1,09.05.2016,20160509,1,0
2016,10,2,10.05.2016,20160510,0,0
2016,11,3,11.05.2016,20160511,0,0
2016,12,4,12.05.2016,20160512,0,0
2016,13,5,13.05.2016,20160513,0,0
2016,14,6,14.05.2016,20160514,1,0
2016,15,7,15.05.2016,20160515,1,0
2016,16,1,16.05.2016,20160516,0,0
2016,17,2,17.05.2016,20160517,0,0
2016,18,3,18.05.2016,20160518,0,0
2016,19,4,19.05.2016,20160519,0,0
2016,20,5,20.05.2016,20160520,0,0
2016,21,6,21.05.2016,20160521,1,0
2016,22,7,22.05.2016,20160522,1,0
2016,23,1,23.05.2016,20160523,0,0
2016,24,2,24.05.2016,20160524,0,0
2016,25,3,25.05.2016,20160525,0,0
2016,26,4,26.05.2016,20160526,0,0
2016,27,5,27.05.2016,20160527,0,0
2016,28,6,28.05.2016,20160528,1,0
2016,29,7,29.05.2016,20160529,1,0
2016,30,1,30.05.2016,20160530,0,0
2016,31,2,31.05.2016,20160531,0,0
2016,1,3,01.06.2016,20160601,0,0
2016,2,4,02.06.2016,20160602,0,0
2016,3,5,03.06.2016,20160603,0,0
2016,4,6,04.06.2016,20160604,1,0
2016,5,7,05.06.2016,20160605,1,0
2016,6,1,06.06.2016,20160606,0,0
2016,7,2,07.06.2016,20160607,0,0
2016,8,3,08.06.2016,20160608,0,0
2016,9,4,09.06.2016,20160609,0,0
2016,10,5,10.06.2016,20160610,0,0
2016,11,6,11.06.2016,20160611,1,0
2016,12,7,12.06.2016,20160612,1,0
2016,13,1,13.06.2016,20160613,1,0
2016,14,2,14.06.2016,20160614,0,0
2016,15,3,15.06.2016,20160615,0,0
2016,16,4,16.06.2016,20160616,0,0
2016,17,5,17.06.2016,20160617,0,0
2016,18,6,18.06.2016,20160618,1,0
2016,19,7,19.06.2016,20160619,1,0
2016,20,1,20.06.2016,20160620,0,0
2016,21,2,21.06.2016,20160621,0,0
2016,22,3,22.06.2016,20160622,0,0
2016,23,4,23.06.2016,20160623,0,0
2016,24,5,24.06.2016,20160624,0,0
2016,25,6,25.06.2016,20160625,1,0
2016,26,7,26.06.2016,20160626,1,0
2016,27,1,27.06.2016,20160627,0,0
2016,28,2,28.06.2016,20160628,0,0
2016,29,3,29.06.2016,20160629,0,0
2016,30,4,30.06.2016,20160630,0,0
2016,1,5,01.07.2016,20160701,0,0
2016,2,6,02.07.2016,20160702,1,0
2016,3,7,03.07.2016,20160703,1,0
2016,4,1,04.07.2016,20160704,0,0
2016,5,2,05.07.2016,20160705,0,0
2016,6,3,06.07.2016,20160706,0,0
2016,7,4,07.07.2016,20160707,0,0
2016,8,5,08.07.2016,20160708,0,0
2016,9,6,09.07.2016,20160709,1,0
2016,10,7,10.07.2016,20160710,1,0
2016,11,1,11.07.2016,20160711,0,0
2016,12,2,12.07.2016,20160712,0,0
2016,13,3,13.07.2016,20160713,0,0
2016,14,4,14.07.2016,20160714,0,0
2016,15,5,15.07.2016,20160715,0,0
2016,16,6,16.07.2016,20160716,1,0
2016,17,7,17.07.2016,20160717,1,0
2016,18,1,18.07.2016,20160718,0,0
2016,19,2,19.07.2016,20160719,0,0
2016,20,3,20.07.2016,20160720,0,0
2016,21,4,21.07.2016,20160721,0,0
2016,22,5,22.07.2016,20160722,0,0
2016,23,6,23.07.2016,20160723,1,0
2016,24,7,24.07.2016,20160724,1,0
2016,25,1,25.07.2016,20160725,0,0
2016,26,2,26.07.2016,20160726,0,0
2016,27,3,27.07.2016,20160727,0,0
2016,28,4,28.07.2016,20160728,0,0
2016,29,5,29.07.2016,20160729,0,0
2016,30,6,30.07.2016,20160730,1,0
2016,31,7,31.07.2016,20160731,1,0
2016,1,1,01.08.2016,20160801,0,0
2016,2,2,02.08.2016,20160802,0,0
2016,3,3,03.08.2016,20160803,0,0
2016,4,4,04.08.2016,20160804,0,0
2016,5,5,05.08.2016,20160805,0,0
2016,6,6,06.08.2016,20160806,1,0
2016,7,7,07.08.2016,20160807,1,0
2016,8,1,08.08.2016,20160808,0,0
2016,9,2,09.08.2016,20160809,0,0
2016,10,3,10.08.2016,20160810,0,0
2016,11,4,11.08.2016,20160811,0,0
2016,12,5,12.08.2016,20160812,0,0
2016,13,6,13.08.2016,20160813,1,0
2016,14,7,14.08.2016,20160814,1,0
2016,15,1,15.08.2016,20160815,0,0
2016,16,2,16.08.2016,20160816,0,0
2016,17,3,17.08.2016,20160817,0,0
2016,18,4,18.08.2016,20160818,0,0
2016,19,5,19.08.2016,20160819,0,0
2016,20,6,20.08.2016,20160820,1,0
2016,21,7,21.08.2016,20160821,1,0
2016,22,1,22.08.2016,20160822,0,0
2016,23,2,23.08.2016,20160823,0,0
2016,24,3,24.08.2016,20160824,0,0
2016,25,4,25.08.2016,20160825,0,0
2016,26,5,26.08.2016,20160826,0,0
2016,27,6,27.08.2016,20160827,1,0
2016,28,7,28.08.2016,20160828,1,0
2016,29,1,29.08.2016,20160829,0,0
2016,30,2,30.08.2016,20160830,0,0
2016,31,3,31.08.2016,20160831,0,0
2016,1,4,01.09.2016,20160901,0,0
2016,2,5,02.09.2016,20160902,0,0
2016,3,6,03.09.2016,20160903,1,0
2016,4,7,04.09.2016,20160904,1,0
2016,5,1,05.09.2016,20160905,0,0
2016,6,2,06.09.2016,20160906,0,0
2016,7,3,07.09.2016,20160907,0,0
2016,8,4,08.09.2016,20160908,0,0
2016,9,5,09.09.2016,20160909,0,0
2016,10,6,10.09.2016,20160910,1,0
2016,11,7,11.09.2016,20160911,1,0
2016,12,1,12.09.2016,20160912,0,0
2016,13,2,13.09.2016,20160913,0,0
2016,14,3,14.09.2016,20160914,0,0
2016,15,4,15.09.2016,20160915,0,0
2016,16,5,16.09.2016,20160916,0,0
2016,17,6,17.09.2016,20160917,1,0
2016,18,7,18.09.2016,20160918,1,0
2016,19,1,19.09.2016,20160919,0,0
2016,20,2,20.09.2016,20160920,0,0
2016,21,3,21.09.2016,20160921,0,0
2016,22,4,22.09.2016,20160922,0,0
2016,23,5,23.09.2016,20160923,0,0
2016,24,6,24.09.2016,20160924,1,0
2016,25,7,25.09.2016,20160925,1,0
